building,noise,in_vehicle,asleep,no_windows,dist,age_groups,heard
0,0,0,0,0,201.97508814221177,1,1
0,0,0,0,0,382.05513591764077,3,1
0,0,0,0,0,74762.23084775206,3,1
0,0,0,0,0,633.9851823511506,1,1
1,0,0,0,0,658.5292147285187,4,1
0,0,0,0,0,774.532742964766,3,0
0,0,0,0,0,160.81875569434615,0,1
0,1,0,0,0,32438.541993308212,5,0
0,0,0,0,0,550.727262103986,3,1
1,0,0,0,0,2025.4539189446482,2,1
0,1,0,0,0,24910.220451789708,2,0
0,1,0,0,0,10893.082732074758,7,0
0,0,0,0,0,1379.3881223153564,1,1
0,0,1,0,0,98880.4669172736,5,0
0,0,0,0,0,255.62570129071963,5,1
1,0,0,0,0,498.5703081465967,1,1
0,0,0,0,0,536.6344266651058,2,1
0,0,0,0,0,276.03126016176105,4,1
0,0,0,0,0,994.8062943066857,2,1
1,0,0,0,0,649.3535224650865,1,1
0,0,0,0,0,195.91630574313427,5,1
0,0,0,0,0,3017.926144057898,2,1
0,0,0,0,0,15334.081974835797,3,0
0,1,0,0,0,72.53846482335017,3,1
1,0,0,0,0,1830.5590678233575,4,1
0,0,0,0,0,924.4082248262781,5,1
0,0,0,0,0,483.42064681185354,2,1
0,0,0,0,0,377.57506519070563,3,1
1,0,0,0,0,856.0806132184226,2,1
0,0,0,0,0,290.27958381964777,6,1
1,1,0,0,0,29.02416699616278,2,1
1,0,0,0,0,263.4738395782848,5,1
0,0,0,0,0,918.8790802983305,2,1
1,0,0,0,0,389.05766464231425,3,1
0,0,0,0,0,565.8365146933588,6,1
0,1,1,0,0,37249.67647275542,7,0
0,0,0,0,0,402.67815972013716,2,1
0,0,0,0,0,739.5636595610904,2,1
0,1,0,0,0,9529.721017030806,6,0
0,0,0,0,0,512.9306609176169,3,1
0,0,0,0,0,1071.046814630156,1,1
1,0,0,0,0,338.100112508951,1,1
0,1,0,0,0,884.0906037286168,1,0
0,0,0,0,0,315.91767429810665,2,1
0,0,0,0,0,246.6469851520151,4,1
0,1,0,0,0,49204.69464573617,2,0
0,0,0,0,0,78.47950163843997,3,1
1,1,0,0,0,46952.74063099779,5,0
1,0,0,0,0,181.8284464654049,1,1
0,0,0,0,0,640.0995349678777,5,1
0,0,0,0,0,1197.1675988898937,2,1
0,0,0,0,0,258.3117712928823,2,1
0,1,0,0,0,1421.108107378812,3,1
1,0,0,0,0,1853.3911132641138,3,1
1,0,0,0,0,752.2371577965426,4,1
0,1,1,0,0,21561.088728115123,4,0
0,1,0,0,0,38983.708819436346,3,0
0,0,0,0,0,400.3866956790832,5,1
1,0,0,0,0,585.7081394216899,1,1
0,0,0,0,0,295.8761916985641,3,1
1,0,0,0,0,858.325009686469,2,1
0,0,0,0,0,1436.1208831141403,4,1
1,0,0,0,0,836.8541330964712,3,1
0,0,0,0,0,569.4306760523568,1,1
0,0,0,0,0,1247.870986667493,3,1
1,1,0,0,1,585.4829842955977,2,1
0,0,0,0,0,1208.3346092930365,3,1
0,0,0,0,0,48938.52514906635,4,0
1,0,0,0,0,505.1443547889398,6,0
0,0,0,0,0,148.04487755369894,0,1
1,0,0,0,0,352.611509434169,3,1
0,0,0,0,0,6177.008911189279,2,1
0,0,0,0,0,320.95404977603266,3,1
1,0,0,0,0,546.8492457287738,7,1
0,0,0,0,0,669.9706074298274,1,1
0,0,0,0,0,529.0628667411427,0,1
0,0,1,0,0,2790.110582532792,7,0
0,0,1,0,0,26747.55958718392,4,0
1,0,0,0,0,628.2363080384695,3,1
0,1,1,0,0,22860.41044638392,6,0
0,0,0,0,0,1366.5642584551408,2,1
1,0,0,0,0,56.60085811389653,3,1
0,0,0,0,0,617.2813407758232,4,1
0,0,0,0,0,622.6157462709926,6,0
1,0,0,0,0,297.0661544973365,6,1
0,1,0,0,0,206.78707884413353,2,1
0,0,0,0,0,6633.277993133717,7,0
1,0,0,0,0,824.2247485487751,2,1
0,0,0,0,0,1282.636834669807,3,1
0,0,0,0,0,620.4122807678447,2,1
0,0,0,0,0,1301.571154852278,4,1
0,0,0,0,0,772.6489254869273,3,1
1,0,0,0,0,345.10987410727495,7,1
0,0,0,0,0,355.3258706090897,1,1
0,0,0,0,0,203.96645161650667,2,1
0,0,0,0,0,166.83144891896723,6,1
1,0,0,0,0,303.5664790935992,6,1
1,0,0,0,0,906.0220072792125,2,1
0,0,0,0,0,9870.802996430859,4,0
0,0,1,0,0,198.25507791834,5,1
0,0,0,0,0,849.8783983717157,4,1
0,1,0,0,0,444.9636045418927,2,1
0,1,1,0,0,64196.48579060395,7,0
0,0,0,0,0,410.45970534571865,1,1
1,0,0,0,0,649.7121057428637,5,1
0,0,0,0,0,1070.7216487226374,1,1
0,0,0,0,0,1184.9624024746277,3,1
0,0,0,0,0,988.1601165773868,3,1
0,0,0,0,0,661.7131801178919,1,1
0,0,0,0,0,658.0377994150018,5,1
1,0,0,0,0,719.4866850140959,7,1
0,0,0,0,0,1129.8770862374297,5,1
1,0,0,0,0,104.77079421235881,6,1
0,1,0,0,0,30091.29022919555,6,0
1,0,0,0,0,935.0808677898677,2,1
0,0,0,0,0,642.3399675579001,4,1
0,1,0,0,0,33404.68507966096,7,0
0,1,0,0,0,84.90523907635584,1,1
0,1,0,0,0,23203.045242000404,5,0
0,0,0,0,0,701.1160316807643,2,1
1,0,0,0,0,362.9440569970876,2,1
0,0,0,0,0,706.4529735729695,5,1
0,0,0,0,0,139.88507116462839,3,1
0,0,0,0,0,47666.31472317895,4,0
0,0,0,0,0,3252.698156951624,1,1
0,0,0,0,0,563.8143555616581,7,1
0,1,0,0,0,971.9208809303177,1,1
1,0,0,0,0,640.0796538366948,2,1
1,0,0,0,0,536.0298838189003,4,1
0,1,0,0,0,39027.29663020908,6,0
1,0,0,0,1,1051.9763336062927,5,0
1,0,0,0,0,872.3324381177032,4,1
0,0,0,0,0,470.0716287883059,6,1
1,1,0,0,0,1200.9547918788671,4,1
0,0,1,0,0,741.3818560404594,6,1
0,1,1,0,0,115966.5997852893,5,0
0,1,0,0,0,41671.62282350773,6,0
0,0,0,0,0,705.1970535128341,2,1
1,1,0,0,0,28372.857346137243,4,0
0,0,0,0,0,207.60870590816745,2,1
1,0,0,0,0,235.56123943722952,5,1
1,0,0,0,0,647.0135813304132,4,1
1,0,0,0,0,75.86556602290383,2,1
0,0,0,0,0,12769.789189128272,4,1
0,0,0,0,0,266.40412423773415,3,1
1,0,0,0,0,200.91895117543223,3,1
0,0,0,0,0,679.5540572236391,4,1
0,0,0,0,0,499.27718408676594,2,1
1,1,0,0,0,20788.991315682368,7,0
0,0,0,0,0,2215.0446317466885,3,1
0,0,0,0,0,664.7335327672373,4,1
1,0,0,0,0,381.74222320020556,4,1
0,0,0,0,0,938.6403619265493,2,1
0,0,0,0,0,341.50283353734034,7,1
0,0,0,0,0,159.67869769897473,0,1
1,0,0,0,0,419.02879303541494,3,1
1,0,0,0,0,70.94686029030379,3,1
1,0,0,0,0,970.094643049523,2,1
0,0,0,0,0,349.0822504261318,6,1
0,0,0,0,0,21278.8395773381,6,0
0,0,0,0,0,484.1204502494319,0,1
1,0,0,0,1,270.75372931556865,5,0
0,0,0,0,0,492.53268862905367,2,1
0,0,0,0,0,152.24529992645137,3,1
0,1,0,0,0,228.86600865646255,6,1
0,0,0,0,0,269.55589951700546,3,1
0,0,0,0,0,63574.76824833584,2,1
0,0,0,0,0,16877.327409955393,7,0
1,0,0,0,1,1317.497756497533,3,0
0,0,0,0,0,355.2300571249471,7,1
0,1,0,0,0,235.0465218560357,4,0
0,0,0,0,0,897.5214212687048,4,1
0,0,0,0,0,637.9417514553866,0,1
0,0,0,0,0,1193.9534414528678,3,1
0,0,0,0,0,29881.854790015994,5,0
1,0,0,0,0,649.6998693763815,5,1
0,0,0,0,0,423.36424268346343,1,1
0,0,0,0,0,84.24974472832439,1,1
0,0,0,0,0,574.02396381854,5,1
1,0,0,0,0,544.1478117743148,2,1
1,1,0,0,0,671.5163192580136,2,0
0,0,0,0,0,2846.118397250838,1,1
1,1,0,0,1,282.9582740939075,4,0
0,1,0,0,0,42541.00825171609,5,0
0,0,0,0,0,560.4354744637841,1,1
0,1,0,0,0,47636.14968992081,5,0
0,0,0,0,0,735.9219286159794,1,1
0,0,0,0,0,1217.128001058904,4,1
0,0,0,0,0,114.43654906913868,2,1
0,0,0,0,0,575.7241707901208,5,1
0,0,0,0,0,1912.8684055549752,4,1
0,1,0,0,0,261.56281957155863,0,1
0,0,0,0,0,1036.6582169643195,1,1
0,0,0,0,0,391.4224393702526,0,1
1,0,0,1,0,3720.052581930457,5,0
0,1,0,0,0,735.6729809791152,3,1
0,1,0,0,0,441.97580985151376,3,1
0,0,0,0,0,25112.111291290523,3,0
0,0,0,0,0,9620.641640574475,5,0
0,1,0,0,0,305.7917270430797,3,1
0,0,0,0,0,271.23828480051634,6,1
0,0,0,0,0,295.3027061093461,4,1
0,1,1,0,0,713.3765770252251,2,1
0,0,0,0,0,2955.510912743689,5,1
0,0,0,0,0,619.4867491324705,5,1
1,1,0,0,1,26820.57908293988,6,0
0,1,1,0,0,30598.533323083604,1,0
0,1,0,0,0,20529.929874422898,2,0
0,0,0,0,0,916.8584385255247,5,1
0,0,0,0,0,649.8225647140208,2,1
0,0,0,0,0,463.76290916230295,3,1
1,1,0,0,0,483.8224745433552,3,1
0,0,1,0,0,726.2630850738691,3,0
0,0,0,0,0,296.4753382058203,3,1
0,1,1,0,0,64147.46340983406,4,0
0,0,0,0,0,579.4133253537367,2,1
0,1,1,0,0,63240.8445345031,5,0
0,1,0,0,0,6253.899949543344,1,1
0,0,0,0,0,1472.407552945034,0,1
0,0,0,0,0,6192.074022362673,1,1
0,0,0,0,0,176.10488854734987,6,1
0,1,0,0,0,1070.6977740977832,1,1
0,0,0,0,0,113.7382847693214,3,1
1,0,0,0,0,240.9786916410219,4,1
0,0,0,0,0,863.8095653264044,1,1
0,0,0,0,0,1899.5812036984673,3,1
0,0,0,0,0,1015.6450585307,1,1
0,0,0,0,0,945.2494200614482,5,1
0,1,1,0,0,32470.03111209472,5,0
0,1,0,0,0,495.3857844706416,4,1
0,1,0,0,0,42061.08490796483,2,0
1,0,0,0,0,412.69286749945144,2,1
0,0,0,0,0,3117.9020801108754,2,1
0,0,0,0,0,249058.97941737316,4,0
0,0,0,0,0,33005.14679400396,5,0
0,1,1,0,0,16604.403077226223,6,0
0,0,0,0,0,273.171903023127,1,1
1,0,0,1,0,3010.4399203211347,3,0
1,0,0,0,0,160.0130835645196,2,1
0,0,0,0,0,46141.711469788126,6,0
0,0,0,0,0,375.5704253067084,3,1
0,0,0,0,0,34417.901735623855,5,0
0,0,0,0,0,1543.787604384584,2,1
0,1,1,0,0,20987.848249217725,4,0
0,0,0,0,0,657.3490039990962,5,0
1,0,0,1,1,1570.3655040159965,5,0
0,0,0,0,0,242.16712290608794,3,1
0,0,0,0,0,32990.06500761638,3,0
1,0,0,0,0,888.5096099533386,6,0
0,0,0,0,0,1311.5526888699405,4,1
0,1,0,0,0,808.094433452761,1,1
0,0,0,0,0,584.5368885895579,3,1
0,0,0,0,0,671.2099256370976,3,1
0,0,0,0,0,1655.0624564749737,6,1
1,0,0,0,0,292.40136923554786,6,1
1,1,0,0,0,52.330605646871845,2,0
0,1,0,0,0,1298.8050380327427,1,1
0,0,0,0,0,530.1295319627442,4,1
0,0,0,0,0,212.76687854460195,4,1
0,0,0,0,0,1505.8520619821606,1,1
1,0,0,0,0,15.621416820220313,7,1
0,0,1,0,0,138.49081598265548,4,1
1,1,0,0,0,107.19554199534272,5,1
1,0,0,0,1,753.6344994687843,6,0
0,0,0,0,0,1054.0905168177123,2,1
1,0,0,0,0,914.0798609540674,0,1
1,1,0,0,1,1807.7960008254174,5,0
0,0,0,0,0,171.53771140515366,5,1
0,1,0,0,0,11475.519424884958,4,0
0,1,0,0,0,447.338262129765,5,1
0,0,0,0,0,936.3479159921748,3,1
0,0,0,0,0,920.7514971893886,5,1
1,0,0,0,0,35620.8393043805,2,1
0,0,0,0,0,1085.9161891142317,6,1
0,0,0,0,0,163733.97322854545,1,0
0,0,0,0,0,296.13392262322157,4,1
0,0,0,0,0,244.94730656834068,4,1
0,1,0,0,0,1724.4433912917507,3,1
0,1,1,0,0,25598.758854149808,5,0
0,0,0,0,0,409.5276582338876,6,1
0,1,1,0,0,4852.466071608335,3,0
0,0,0,0,0,2419.3814571033777,0,1
0,0,0,0,0,513.0508470471995,5,1
0,0,0,0,0,994.7067360165447,3,1
0,0,0,0,0,820.0451574296413,1,1
1,1,0,0,0,278.7120876507741,6,1
0,0,0,0,0,623.6764934302352,3,1
1,1,0,0,1,336.4339926944339,5,0
0,0,0,0,0,874.918625757028,3,1
0,0,0,0,0,59.67419368411479,1,1
0,0,0,0,0,1761.0821832811723,1,1
0,0,0,0,0,514.3300521448707,2,1
1,0,0,0,0,1082.64429989166,7,1
0,0,0,0,0,432.44719012528265,3,1
0,0,0,0,0,666.8197649621702,4,1
0,0,0,0,0,457.7137680082151,7,1
1,0,0,0,1,5150.6910940850275,7,0
0,0,0,0,0,769.1144842811271,5,1
0,0,0,0,0,939.5367831681651,7,1
0,1,0,0,0,4277.217390270056,3,0
0,1,0,0,0,10604.327815731645,6,0
0,0,0,0,0,770.9546509847407,3,1
0,1,1,0,0,28827.34004431727,7,0
0,0,0,0,0,669.7934447096223,2,1
0,0,0,0,0,203.14010623242555,3,1
1,0,0,0,0,1210.8727649646246,6,1
0,0,0,0,0,912.1933893670229,5,1
0,0,0,0,0,637.2689962453858,1,1
0,0,0,0,0,779.4319842746636,1,1
0,0,0,0,0,1432.1986580861565,3,1
0,0,0,0,0,587.3671809075367,3,1
0,0,0,0,0,455.2101572363902,6,1
1,0,0,0,0,782.2794518283108,6,1
0,0,1,0,0,24055.358072671926,5,0
0,0,0,0,0,369.43235833864395,1,0
0,1,0,0,0,58358.45182348157,4,0
1,0,0,0,0,389.4746933021725,3,1
0,0,0,0,0,543.0275811720818,2,1
0,0,0,0,0,2948.1481323208327,3,1
0,0,0,0,0,416.80080525018553,3,1
0,0,1,0,0,2815.655854510392,5,1
0,0,1,0,0,28427.65615752298,6,0
0,0,0,0,0,391.2998780022334,6,1
0,0,0,0,0,339.49481354682155,2,1
0,0,0,0,0,296.45524604456347,3,1
1,0,0,0,0,48.1735767524979,3,1
0,0,0,0,0,425.90578073252163,5,1
0,1,0,0,0,393.46439100088713,4,1
0,1,0,0,0,291.5424183502563,5,1
1,0,0,0,0,1844.4777586798805,1,1
0,1,0,0,0,507.5451214421491,6,0
0,1,1,0,0,39479.94473000267,1,0
0,0,0,0,0,811.4674603545535,3,1
0,0,0,0,0,811.91989771458,3,1
1,0,0,0,0,179.02815809095824,1,1
1,0,0,0,0,186.66932912573898,1,1
0,1,0,0,0,377.19545395543383,3,1
0,0,0,0,0,9346.388293257374,1,1
0,0,0,0,0,73017.45204870011,3,0
0,0,0,0,0,1847.7002679316163,0,1
1,0,0,0,0,505.68380972307875,2,1
0,0,0,0,0,596.3288160482712,1,1
0,0,0,0,0,516.4577376394951,2,1
0,1,0,0,0,1399.8411980729977,4,0
1,1,0,0,0,18539.647221140993,5,0
0,1,0,0,0,4079.6018176494786,4,0
0,0,0,0,0,655.1098783264445,4,1
0,0,0,0,0,1225.9649312647248,4,1
0,0,1,0,0,697.4558569227631,0,1
1,1,0,0,0,1211.7828947553417,7,0
0,0,0,0,0,1071.0672941338962,2,1
0,1,0,0,0,858.4190503813448,3,1
0,0,0,0,0,998.1897761857724,5,1
0,0,0,0,0,510.8996379253046,1,1
0,1,1,0,0,47135.43021755659,3,0
1,0,0,0,0,623.8498929240864,1,1
0,0,1,0,0,868.7377257793875,4,0
0,1,0,0,0,6278.957038738907,3,0
0,0,0,0,0,719.4448614209736,2,1
0,0,0,0,0,355.5257505782822,2,1
0,0,0,0,0,1900.663980441182,1,1
0,0,0,0,0,1411.187426030344,3,1
1,0,0,1,1,789.2318240711957,0,0
0,0,0,0,0,846.2027225017292,4,1
0,0,0,0,0,175.5151038627014,6,1
1,1,0,0,0,13163.464012133774,5,0
0,0,0,0,0,352.01853355004766,4,1
1,0,0,0,0,1004.2071774103258,2,0
1,0,0,0,0,235.70598502421458,5,1
0,1,1,0,0,1066.5716892991322,6,0
1,0,0,0,0,179.73968181961396,6,1
0,0,0,0,0,14094.356682453721,0,0
1,0,0,0,0,309.11702466696,3,1
1,1,0,0,0,1008.8963531442358,4,1
0,0,0,0,0,151.06115326060976,2,1
0,1,1,0,0,2574.2765240877948,7,0
1,0,0,0,0,29301.669873706134,4,0
1,0,0,0,0,740.8885384838828,5,1
0,0,1,0,0,980.5148223025507,4,0
0,0,0,0,0,619.6041459106463,5,1
0,0,0,0,0,57348.275414381285,6,0
1,0,0,0,1,1798.8850100154498,1,1
1,0,0,0,0,323.81467510635747,1,1
0,0,0,0,0,279.4955749959749,6,1
0,0,0,0,0,855.8021074292984,7,1
1,0,0,0,0,493.8446156484531,0,1
1,0,0,0,0,972.9536298652122,6,1
1,0,0,0,0,487.4820872480578,6,0
1,0,0,0,0,1249.8110801140008,7,0
1,0,0,0,0,470.17503776972103,0,1
0,0,1,0,0,46015.08304545847,7,0
0,0,0,0,0,679.4577183635379,4,1
0,1,0,0,0,212.00769136660986,3,1
0,0,0,0,0,411.2811205751826,2,1
0,0,1,0,0,378.12760377076364,7,1
0,1,1,0,0,44635.26429612065,5,0
0,0,0,0,0,14294.040079793933,5,0
0,0,0,0,0,24732.153825095083,4,1
0,1,0,0,0,223.93146414822084,4,1
0,0,0,0,0,588.5016830410823,1,1
0,1,0,0,0,71154.20834783305,3,0
1,0,0,0,0,422.1309046515371,5,0
1,1,0,0,0,322.38894490808974,3,1
1,0,0,0,0,1464.5405005469015,2,1
1,1,0,0,0,723.9178636410936,3,1
1,0,0,0,0,496.4076440315896,6,1
0,0,0,0,0,248.80444868126455,1,1
0,0,0,0,0,10858.886592013258,5,0
1,0,0,0,0,872.6481636474136,2,1
0,0,0,0,0,1596.0956987676202,6,1
1,0,0,0,0,506.7218991406395,3,1
0,1,0,0,0,41675.192460647595,2,0
0,0,0,0,0,410.91968355771417,1,1
0,1,0,0,0,502.33723225255847,4,1
0,0,0,0,0,842.7837994749955,1,1
0,0,0,0,0,662.0731800670368,1,1
0,0,0,0,0,44114.88922527992,7,0
0,0,0,0,0,353.66832871125155,1,1
0,0,0,0,0,1372.1739724049048,4,1
0,0,0,0,0,640.7664161628265,2,1
0,0,0,0,0,299.07184481860116,3,1
1,0,0,0,0,398.1769760485607,3,1
0,0,0,0,0,673.1761295801476,5,1
0,0,0,0,0,261.9255030815444,2,1
0,0,0,0,0,22093.488479788568,4,0
0,0,0,0,0,32741.889712344215,5,0
1,0,0,1,0,12506.75819292317,3,0
0,0,0,0,0,107.68981347974638,1,1
0,0,0,0,0,3465.670377782903,2,1
0,0,0,0,0,410.74415264619245,0,1
0,0,1,0,0,42091.55863974094,5,0
0,0,1,0,0,423.78586314831733,2,1
0,0,0,0,0,30151.457494603517,3,0
0,1,0,0,0,3080.6696609052656,7,0
0,0,0,0,0,207.9770765369739,2,1
0,0,0,0,0,1453.9114823394007,1,1
1,0,0,0,0,86.43362857423848,6,1
0,1,0,0,0,764.6351635986794,7,0
0,1,0,0,0,10348.434517690825,6,0
0,0,0,0,0,415.19965073169027,6,1
0,0,1,0,0,377.5130224903333,4,1
1,0,0,0,0,676.1025399681679,6,1
0,0,0,0,0,1387.5826276054559,4,1
0,1,1,0,0,73275.63501675818,4,0
0,0,0,0,0,289.4990470834837,4,1
1,0,0,0,0,1018.9720871494296,3,1
0,1,0,0,0,2145.3469806668973,0,1
0,0,1,0,0,83208.29553478191,7,0
1,0,0,0,0,394.9519937901216,6,1
1,0,0,0,0,724.4359605631973,3,1
0,0,0,0,0,1355.7448399730558,0,1
0,0,0,0,0,1115.4889163947062,1,1
0,1,0,0,0,71945.90581483307,1,0
0,0,0,0,0,260.58221067704426,0,1
1,0,0,0,0,278.93687152190455,1,1
0,0,0,0,0,416.40903432198536,6,1
0,0,0,0,0,100.15249997297074,3,1
0,0,0,0,0,197.69713952758488,1,1
0,0,0,0,0,1208.343666495766,3,1
0,0,0,0,0,353.4439343259139,2,1
0,0,0,0,0,499.7821706776296,1,1
0,0,0,0,0,1218.1915815870548,4,1
1,0,0,0,1,5942.077379075118,6,0
0,0,0,0,0,531.9168633852915,4,1
0,0,1,0,0,590.4968381850376,2,1
0,0,1,0,0,441.75523087878713,3,0
1,1,0,0,0,547.6952168832937,5,0
0,0,0,0,0,262.4510045162644,4,1
1,0,0,0,0,962.8516273181107,7,1
0,1,1,0,0,383.0971788991247,7,0
0,0,0,0,0,830.7303803117435,2,1
0,0,0,0,0,520.8612127521919,5,1
0,0,0,0,0,874.280207019109,3,1
0,0,0,0,0,752.1520888642037,2,1
1,0,0,0,0,21.77121350830721,6,1
0,1,1,0,0,2539.8419136682833,2,0
0,0,0,0,0,562.7273463363688,1,1
0,0,0,0,0,32402.85691288396,3,0
1,0,0,0,0,46.519981082861236,5,1
0,0,0,0,0,31968.963105443094,2,0
0,1,0,0,0,623.1577073210836,2,1
0,1,0,0,0,580.5790983274866,2,1
0,0,0,0,0,2625.5188150334616,6,1
0,0,0,0,0,164.59286914331898,5,1
0,0,0,0,0,741.842893783654,5,1
1,1,0,0,0,725.4739046412853,5,1
0,0,1,0,0,969.997338688611,4,0
1,0,0,0,0,950.2013630768764,1,1
1,0,0,0,0,308.1431567558656,6,1
0,0,0,0,0,413.0885375130114,2,1
0,1,1,0,0,23988.393936097655,6,0
0,0,0,0,0,891.1478825936454,5,1
1,0,0,0,0,393.480764171888,7,1
0,0,0,0,0,39950.845556761,5,0
0,0,1,0,0,6449.712094191128,6,0
0,0,0,0,0,1199.7241375629303,2,1
0,1,0,0,0,20417.864357174152,1,1
0,0,1,0,0,279.69027991518544,4,0
1,0,0,0,0,223.41718100814572,6,1
0,0,0,0,0,843.4492698246685,6,1
0,0,0,0,0,396.3058737935403,3,1
0,0,0,0,0,1351.9256500867416,2,1
1,0,0,0,0,132.54141055917628,4,1
0,0,1,0,0,11936.4643053019,2,1
0,0,0,0,0,416.73150635001724,4,1
0,0,0,0,0,205.56912771278726,2,1
0,0,0,0,0,1204.2446408057372,3,0
0,0,0,0,0,1045.1212524211496,5,1
1,0,0,0,0,367.73466292801515,2,1
0,0,0,0,0,1307.9667508927794,2,1
0,0,0,0,0,6544.670460755874,3,0
1,0,0,0,0,30.759990681997746,2,1
1,0,0,0,0,601.0214841485649,4,1
0,0,0,0,0,219.0009106915379,7,1
0,0,0,0,0,35974.831245201756,6,0
1,0,0,0,0,618.1876972132113,1,1
1,0,0,0,0,288.5969154566663,6,1
1,0,0,0,0,228.1593122963383,3,1
0,1,0,0,0,28320.511877624096,4,0
0,0,0,0,0,162.30850625615378,2,1
0,0,0,0,0,1866.7131502187901,6,1
0,0,0,0,0,256.09928102814746,1,1
0,0,0,0,0,1034.0159090815907,5,1
0,0,1,0,0,27254.285442388755,7,0
0,1,0,0,0,377.73537635658926,6,1
1,0,0,0,0,169.41280883039846,5,1
0,0,0,0,0,195.42307099121155,6,1
1,0,0,0,0,204.76463660752162,3,1
0,0,0,0,0,352.19955784731735,2,1
0,1,0,0,0,848.3917020346406,6,1
0,1,0,0,0,17825.49232655214,6,0
0,1,0,0,0,362.26778342817727,3,1
1,1,0,0,0,951.5040440383351,3,0
0,1,0,0,0,1515.3214030225918,1,1
0,0,0,0,0,838.7437254194294,5,1
0,0,0,0,0,372.23231869468026,1,1
0,0,0,0,0,11477.687289916426,6,0
0,0,0,0,0,651.6632218337976,1,1
1,1,0,0,1,891.1265523210208,2,0
0,0,0,0,0,402.3341749050236,6,1
0,0,0,0,0,511.2702945800438,5,1
0,0,0,0,0,248.88363650596753,3,1
1,0,0,0,0,46624.926296256504,4,0
0,0,0,0,0,41987.984045961006,4,0
1,0,0,0,0,555.88154230747,4,1
0,1,0,0,0,1329.391412414947,6,1
1,0,0,0,0,1525.6950953762457,3,1
0,0,0,0,0,1058.4007620789591,5,1
0,0,0,0,0,592.6158809001038,5,1
0,0,1,0,0,1196.1052876625438,7,0
0,0,0,0,0,4409.6318790235855,4,0
0,0,0,0,0,432.91376640768095,2,1
0,0,0,0,0,663.110969983756,4,1
0,0,0,0,0,993.4800432327623,2,1
0,1,1,0,0,28134.956412951044,2,0
0,1,0,0,0,10572.856566220511,6,0
0,0,0,0,0,1068.2964922554365,2,1
1,0,0,0,0,678.9073488722704,4,1
0,0,0,0,0,204.73827641512366,5,1
1,0,0,0,0,559.9377530168608,3,1
1,0,0,0,0,277.57924334048977,2,1
0,1,0,0,0,293.47934892265687,1,1
0,1,0,0,0,47274.24807289217,7,0
1,0,0,0,0,354.15797546376893,1,1
